author_sort,authors,comments,cover,formats,id,identifiers,isbn,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,timestamp,title,title_sort,uuid,#read,#website
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/creating apps with mozilla (39)/cover.jpg","epub","39","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","3883980","","2015-10-27T16:13:56+10:00","creating apps with mozilla","creating apps with mozilla","b70a7189-d4dc-4d14-85b7-38fda6c7b64e","",""
"Dhillon, Vikram","Vikram Dhillon","Learn to create your own blog using the Jekyll static site generator. You’ll start with a simple template, add new features to it, automate any maintenance, attach social sharing, and begin writing. By the end of *Creating Blogs with Jekyll*, you will be able to create custom blogs with Jekyll, update the content with ease, and reach out to your readers with minimal effort. Because you've built your blog yourself, you'll know exactly how each component works, and you won’t be dependent on an admin panel to maintain it.

*Creating Blogs with Jekyll *equips you with the knowledge to create an elegantly designed blog and scale it to capture more readers. Recapture the magic of writing by creating great content and use an easy workflow in Jekyll to maintain it for blogging. Do new things and write about them in style with Jekyll.

  * Takes you through building a fully functional blog from scratch using Jekyll
  * Provides a fun way to work on a side-project and integrate cutting edge web technologies
  * Teaches you how to update and maintain your awesome blog 

Jekyll is a simple, secure and very low maintenance blog engine that converts naturally written content in markdown into a beautiful and minimal blog. It allows you to focus on content creation and expressing yourself instead of spending all your time updating the plugins and maintaining the database. Jekyll does not rely on a database as a backend so your blog will be far more secure and reliable than any traditional blogging engines such as WordPress. 

We live in a day and age where short attention spans make it very difficult to expose a reader to interesting content. What better way to capture a reader's attention and retain viewers by captivating them by your own unique style and taste? Jekyll allows the content to shine with minimal distractions and a greater focus on the content and easy sharing of the content.

**What You'll Learn**

Choose a base theme appropriate for your style and development * Integrate various web technologies that will work well together and enhance your blog * Automate social sharing components and comments workflow * Make adjustments to themes, views and styles of blog posts * Update any of the modular components of the blog and integrate new technologies * Implementing Jekyll and deploying static websites for future projects

**Who This Book Is For**

*Creating Blogs with Jekyll* is for the developer who is ready to move beyond the complexities of maintaining a content management system by creating their own unique blog in their own style. It’s for the project manager tired of spending all their time editing their blog on the admin panel and updating the content management system. *Creating Blogs with Jekyll* is an excellent choice for new developers to start blogging because of the simplicity of Jekyll’s theming layer and writing workflow. It’s an excellent choice for the web developer wanting to build their blog from scratch and expand their knowledge of higher level web technologies. 

**

### From the Back Cover

Learn to create your own blog using the Jekyll static site generator. You’ll start with a simple template, add new features to it, automate any maintenance, attach social sharing, and begin writing. By the end of *Creating Blogs with Jekyll*, you will be able to create custom blogs with Jekyll, update the content with ease, and reach out to your readers with minimal effort. Because you've built your blog yourself, you'll know exactly how each component works, and you won’t be dependent on an admin panel to maintain it.

*Creating Blogs with Jekyll *equips you with the knowledge to create an elegantly designed blog and scale it to capture more readers. Recapture the magic of writing by creating great content and use an easy workflow in Jekyll to maintain it for blogging. Do new things and write about them in style with Jekyll.

  * Takes you through building a fully functional blog from scratch using Jekyll
  * Provides a fun way to work on a side-project and integrate cutting edge web technologies
  * Teaches you how to update and maintain your awesome blog

Jekyll is a simple, secure and very low maintenance blog engine that converts naturally written content in markdown into a beautiful and minimal blog. It allows you to focus on content creation and expressing yourself instead of spending all your time updating the plugins and maintaining the database. Jekyll does not rely on a database as a backend so your blog will be far more secure and reliable than any traditional blogging engines such as WordPress.

### About the Author

**Vikram Dhillon** is currently a research fellow in the Institute of Simulation and Training, at University of Central Florida. He holds a Bachelor of Science degree in Molecular Biology from the University of Central Florida, where his main focus was bioinformatics. He has published a few scientific papers on computational genomics. He has worked as a software and business development coach at the Blackstone Launchpad to mentor young entrepreneurs and startups through the process of building technology products. He was previously funded by the National Science Foundation through the Innovation Corps program to study customer discovery and apply it to commercialize high-risk startup ideas. He is a member of the Linux Foundation and stays very involved in open source projects and initiatives for the past several years. He often speaks at local conferences and meetups about programming, design, security and entrepreneurship. He currently lives in Orlando and writes a technology focused blog at opsbug.com.
","/home/tom/Calibre Library/Vikram Dhillon/Creating Blogs With Jekyll (7)/cover.jpg","epub, mobi, pdf","7","kobo:creating-blogs-with-jekyll,isbn:9781484214657,goodreads:28152384,amazon:148421465X","9781484214657","eng","Calibre Library","2016-06-01T00:00:00+10:00","Apress","4","","1.0","18780676","Nonfiction, Computers, Advanced Computing, Computer Science, General Computing","2016-08-17T21:01:51+10:00","Creating Blogs With Jekyll","Creating Blogs With Jekyll","71b46368-066e-4c34-a724-c26d1e89ace9","True",""
"Maher, Jimmy","Jimmy Maher","This is volume 1 of a series of ebooks collecting the articles from Jimmy Maher's Digital Antiquarian blog, an ongoing history of interactive entertainment. This volume covers the historical years 1966-1979. Please note that some multimedia elements -- pictures, screenshots, movies, audio -- may display imperfectly or not at all on many e-readers.This version does not include comments made by readers of the original articles. Another version is available that does.","/home/tom/Calibre Library/Jimmy Maher/The Digital Antiquarian, Volume 1_ 1966-1979 (13)/cover.jpg","epub","13","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","1568354","","2016-01-18T08:38:41+10:00","The Digital Antiquarian, Volume 1: 1966-1979","Digital Antiquarian, Volume 1: 1966-1979, The","23022b0c-6c9e-482a-9760-9b8f04e4e72e","True",""
"Maher, Jimmy","Jimmy Maher","This is volume 2 of a series of ebooks collecting the articles from Jimmy Maher's Digital Antiquarian blog, an ongoing history of interactive entertainment. This volume covers the historical year 1980. Please note that some multimedia elements -- pictures, screenshots, movies, audio -- may display imperfectly or not at all on many e-readers.This version does not include comments made by readers of the original articles. Another version is available that does.","/home/tom/Calibre Library/Jimmy Maher/The Digital Antiquarian, Volume 2_ 1980 (9)/cover.jpg","epub","9","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","1377801","","2016-01-18T08:38:53+10:00","The Digital Antiquarian, Volume 2: 1980","Digital Antiquarian, Volume 2: 1980, The","5bfd8834-6f46-462b-b7a4-55535e8b8981","True",""
"Maher, Jimmy","Jimmy Maher","This is volume 3 of a series of ebooks collecting the articles from Jimmy Maher's Digital Antiquarian blog, an ongoing history of interactive entertainment. This volume covers the historical year 1981. Please note that some multimedia elements -- pictures, screenshots, movies, audio -- may display imperfectly or not at all on many e-readers.This version does not include comments made by readers of the original articles. Another version is available that does.","/home/tom/Calibre Library/Jimmy Maher/The Digital Antiquarian, Volume 3_ 1981 (11)/cover.jpg","epub","11","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","1376478","","2016-01-18T08:39:08+10:00","The Digital Antiquarian, Volume 3: 1981","Digital Antiquarian, Volume 3: 1981, The","43441c9b-508c-4a63-a7b8-c374ac9d044c","True",""
"Maher, Jimmy","Jimmy Maher","This is volume 4 of a series of ebooks collecting the articles from Jimmy Maher's Digital Antiquarian blog, an ongoing history of interactive entertainment. This volume covers the historical year 1982. Please note that some multimedia elements -- pictures, screenshots, movies, audio -- may display imperfectly or not at all on many e-readers.This version does not include comments made by readers of the original articles. Another version is available that does.","/home/tom/Calibre Library/Jimmy Maher/The Digital Antiquarian, Volume 4_ 1982 (14)/cover.jpg","epub","14","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","2380705","","2016-01-18T08:39:03+10:00","The Digital Antiquarian, Volume 4: 1982","Digital Antiquarian, Volume 4: 1982, The","002de0b3-d6e1-4029-ac61-43e270bcc9f8","True",""
"Maher, Jimmy","Jimmy Maher","This is volume 5 of a series of ebooks collecting the articles from Jimmy Maher's Digital Antiquarian blog, an ongoing history of interactive entertainment. This volume covers the historical year 1983. Please note that some multimedia elements -- pictures, screenshots, movies, audio -- may display imperfectly or not at all on many e-readers.This version does not include comments made by readers of the original articles. Another version is available that does.","/home/tom/Calibre Library/Jimmy Maher/The Digital Antiquarian, Volume 5_ 1983 (8)/cover.jpg","epub","8","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","2959085","","2016-01-18T08:38:56+10:00","The Digital Antiquarian, Volume 5: 1983","Digital Antiquarian, Volume 5: 1983, The","4be125bf-0194-434b-bb9a-252f0b21b00a","True",""
"Maher, Jimmy","Jimmy Maher","This is volume 6 of a series of ebooks collecting the articles from Jimmy Maher's Digital Antiquarian blog, an ongoing history of interactive entertainment. This volume covers the historical year 1984. Please note that some multimedia elements -- pictures, screenshots, movies, audio -- may display imperfectly or not at all on many e-readers.This version does not include comments made by readers of the original articles. Another version is available that does.","/home/tom/Calibre Library/Jimmy Maher/The Digital Antiquarian, Volume 6_ 1984 (16)/cover.jpg","epub","16","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","2673920","","2016-01-18T08:39:00+10:00","The Digital Antiquarian, Volume 6: 1984","Digital Antiquarian, Volume 6: 1984, The","8b5f16e1-c8bd-4c4f-8095-f6f76c620e9c","True",""
"Maher, Jimmy","Jimmy Maher","This is volume 7 of a series of ebooks collecting the articles from Jimmy Maher's Digital Antiquarian blog, an ongoing history of interactive entertainment. This volume covers the historical year 1985. Please note that some multimedia elements -- pictures, screenshots, movies, audio -- may display imperfectly or not at all on many e-readers.This version does not include comments made by readers of the original articles. Another version is available that does.","/home/tom/Calibre Library/Jimmy Maher/The Digital Antiquarian, Volume 7_ 1985 (15)/cover.jpg","epub","15","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","3572025","","2016-01-18T08:38:49+10:00","The Digital Antiquarian, Volume 7: 1985","Digital Antiquarian, Volume 7: 1985, The","e6b4a0ef-a9f0-4497-979e-56085833f3a0","True",""
"Maher, Jimmy","Jimmy Maher","This is volume 8 of a series of ebooks collecting the articles from Jimmy Maher's Digital Antiquarian blog, an ongoing history of interactive entertainment. This volume covers the historical year 1986. Please note that some multimedia elements -- pictures, screenshots, movies, audio -- may display imperfectly or not at all on many e-readers.This version does not include comments made by readers of the original articles. Another version is available that does.","/home/tom/Calibre Library/Jimmy Maher/The Digital Antiquarian, Volume 8_ 1986 (12)/cover.jpg","epub","12","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","7639042","","2016-01-18T08:38:46+10:00","The Digital Antiquarian, Volume 8: 1986","Digital Antiquarian, Volume 8: 1986, The","42919e42-a073-436b-9933-bdb157585da0","True",""
"Maher, Jimmy","Jimmy Maher","","/home/tom/Calibre Library/Jimmy Maher/The Digital Antiquarian, Volume 9_ 1987 (10)/cover.jpg","epub","10","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","7359360","","2016-02-01T21:18:14+10:00","The Digital Antiquarian, Volume 9: 1987","Digital Antiquarian, Volume 9: 1987, The","91b7a15d-293c-4ce8-9858-ebea4ffb297d","True",""
"Keathley, Elizabeth","Elizabeth Keathley","***Digital Asset Management: Content Architectures, Project Management, and Creating Order out of Media Chaos*** is for those who are planning a digital asset management system or interested in becoming digital asset managers. This book explains both the purpose of digital asset management systems and why an organization might need one. The text then walks readers step-by-step through the concerns involved in selecting, staffing, and maintaining a DAM. This book is dedicated to providing you with a solid base in the common concerns, both legal and technical, in launching a complex DAM capable of providing visual search results and workflow options. 

Containing sample job models, case studies, return on investment models, and quotes from many top digital asset managers, this book provides a detailed resource for the vocabulary and procedures associated with digital asset management. It can even serve as a field guide for system and implementation requirements you may need to consider. 

This book is not dedicated to the purchase or launch of a DAM; instead it is filled with the information you need in order to examine digital asset management and the challenges presented by the management of visual assets, user rights, and branded materials.  It will guide you through justifying the cost for deploying a DAM and how to plan for growth of the system in the future. This book provides the most useful information to those who find themselves in the bewildering position of formulating access control lists, auditing metadata, and consolidating information silos into a very new sort of workplace management tool – the DAM. 

The author, Elizabeth Ferguson Keathley, is a board member of the DAM Foundation and has chaired both the Human Resources and Education committees. Currently Elizabeth is working with the University of British Columbia and the DAM Foundation to establish the first official certificate program for Digital Asset Managers. She has written, taught, and been actively a part of conferences related to the arrangement, description, preservation and access of information for over ten years. Her ongoing exploration of digital asset management and its relationship to user needs can be followed at her homepage for Atlanta Metadata Authority : atlantametadata.com. 

### What you’ll learn

  * The difference between DAMs, CMSs, and WCMs 

  * How to identify the need for a DAM, and how to conduct a needs assessment

  * Why there is no single best DAM solution for every need
  * How to discuss servers, hosting, and storage with your vendors and IT staff
  * How to hire staff or create positions for digital asset managers
  * How to survey and appraise collections and systems for DAM integration
  * How a search engine within a DAM actually works
  * How to establish reportable metrics for you DAM, including ROI figures
  * How to migrate collections for digital preservation and protection
  * Why rights management and brand management are two sides of the same DAM coin
  * Why DAM workflows will change the modern workplace for the better

### Who this book is for

  * Anyone who creates, uses, or searches for visual information in digital form
  * Librarians and Archivists interested in the future of digital preservation and access
  * Information Science Students and Professionals
  * CIOs and CEOs of companies with a large volume of visual assets
  * IT staff who need to understand what digital asset managers do all day
  * Graphic Designers, Photographers, and other creative people involved with image generation and storage

### About the Author

Elizabeth Ferguson Keathley is a board member of the DAM Foundation and has chaired both the Human Resources and Education committees. Currently Elizabeth is working with the DAM Foundation to establish the first official certificate program for digital asset managers. One of the original UPS DAM team members for seven years, Elizabeth worked with her team to win the 2010 DAMMY award for best preservation, storage, or archives solution. Previous to her work at UPS, Elizabeth worked as a Preservation Field Services officer for the Southeastern Library Network, helping libraries, archives, and other cultural institutions meet preservation and access challenges by writing and teaching. She has written, taught, and been generally loud at conferences related to the arrangement, description, preservation and access of information for eleven years. Elizabeth has a MS in Archives Management from Simmons College, Boston, and has published in such periodicals as Journal of Digital Media Management. Her ongoing exploration of digital asset management and its relationship to user needs can be followed at her homepage for Atlanta Metadata Authority : atlantametadata.com, where she provides services related to the staffing, training, metadata modeling, and asset migrations for corporations acclimating to the labor intensive and detail-oriented nature of digital asset management. 
","/home/tom/Calibre Library/Elizabeth Keathley/Digital Asset Management_ Content Architectures, Project Management, and Creating Order Out of M (84)/cover.jpg","epub","84","google:YBI-ngEACAAJ,isbn:9781430263760,amazon:1430263768","9781430263760","eng","Calibre Library","2014-03-17T14:00:00+10:00","Apress","4","","1.0","4009372","Computers, Data Processing, Document Management, Digital Media, General","2015-10-27T16:13:51+10:00","Digital Asset Management: Content Architectures, Project Management, and Creating Order Out of Media Chaos","Digital Asset Management: Content Architectures, Project Management, and Creating Order Out of Media Chaos","0589e63c-0ccb-4aaa-a5d1-6674a14798d0","True",""
"Administrator","Administrator","","/home/tom/Calibre Library/Administrator/DjVu Document (190)/cover.jpg","epub","190","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","3250956","","2016-09-10T16:15:28+10:00","DjVu Document","DjVu Document","36bda464-c674-474e-bf68-6993a404d77b","",""
"Sainsbury-Salis, Amanda Phd","Dr Amanda Sainsbury-Salis Phd","Staying satisfied while dieting is the key to beating the “famine reaction,” the body's method of protecting itself when it perceives a significant food shortage. This insightful resource explains the science behind the famine reaction, and includes vital information on how anyone can control and repress the body’s negative reactions to diet. Notes on nutrition and exercise plus 50 delicious, healthy recipes are also provided. This is the ultimate, tried-and-tested guide to working with both body and mind to lose weight safely and permanently.

**

### Review

""This book will revolutionize the way we think about weight control. Everyone should read it.""  —Jennie Brand-Miller, coauthor, *The Low GI Diet Cookbook*

### About the Author

Dr Amanda Sainsbury-Salis, PhD is a professional researcher in the area of health and diet.
","","epub","167","isbn:9781863255233,amazon:1863255230","9781863255233","eng","Calibre Library","2007-02-01T23:00:00+10:00","Random House Australia","4","","1.0","1746644","","2015-10-27T16:13:59+10:00","The Don't Go Hungry Diet","Don't Go Hungry Diet, The","1890f85c-1667-47ec-872b-7e80d7c51a12","",""
"Dr Amanda Sainsbury-Salis, PhD","Dr Amanda Sainsbury-Salis, PhD","","","epub","160","","","eng","Calibre Library","2007-05-18T00:00:00+10:00","Random House Australia","","","1.0","1746038","","2015-10-27T16:14:02+10:00","The Don’t Go Hungry Diet","Don’t Go Hungry Diet, The","acb5a723-bca9-44d5-ae9e-8dd75054de5b","",""
"Haring, Scott","Scott Haring","","/home/tom/Calibre Library/Scott Haring/e23SpacePlanetaryRecord.qxd (176)/cover.jpg","pdf","176","","","","Calibre Library","2006-05-13T03:20:40+10:00","","","","1.0","595897","","2016-09-10T16:10:58+10:00","e23SpacePlanetaryRecord.qxd","e23SpacePlanetaryRecord.qxd","c0e7404c-4d82-40bb-a3da-fb8cb85795b3","",""
"Unknown","Unknown","","","epub, pdf","71","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","1164341","","2016-07-04T16:23:51+10:00","eprimer-nets","eprimer-nets","36df5df7-a4e6-475d-be19-dd803495d7e9","",""
"Greenberg, Ira","Ira Greenberg","Processing is a open source project that bridges the gap between programming and art. Its simplicity and power appeal to non-coders and old-hands alike. As a Flash developer, you already have a firm grasp of basic programming principles and an understanding of creating and controlling visuals through code. This book uses your existing knowledge as a springboard to learning Processing and harnessing the extra creative power and control that it offers, both on and off the web.

*The Essential Guide to Processing for Flash Developers* takes a hands-on approach to learning Processing that builds upon your familiarity with Flash, and your experience with the ActionScript language and object-oriented programming concepts. The book offers a full series of Processing projects, structured to allow less experienced coders to get up to speed quickly, while leaving room for more experienced programmers to take the initial project concepts and build more complex applications.

  * Includes a language primer explaining all of the Processing-specific programming theory you need to know 
  * Contains a full series of Processing projects and numerous easy-to-follow code examples 
  * Covers Processing's Java mode, providing an easy-to-navigate bridge to programming in Java, Processing's underlying host language 

**

### About the Author

Ira Greenberg directs the Center of Creative Computation and is Associate Professor with a joint appointment in the Meadows School of the Arts and Lyle School of Engineering at Southern Methodist University, Dallas TX. He is the author of Processing: Creative Coding and Computational Art and The Essential Guide to Processing for Flash Developers, both from friends of ED/Apress. Ira received his BFA from Cornell University and his MFA from the University of Pennsylvania. 
","/home/tom/Calibre Library/Ira Greenberg/The Essential Guide to Processing for Flash Developers (42)/cover.jpg","pdf","42","isbn:9781430219798,amazon:1430219793","9781430219798","eng","Calibre Library","2009-12-27T00:00:00+10:00","Apress","","","1.0","5239809","","2016-01-09T22:20:50+10:00","The Essential Guide to Processing for Flash Developers","Essential Guide to Processing for Flash Developers, The","3d55ef99-2493-46f5-9fcd-3a072226f5c7","",""
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/Fantasy Seeds (69)/cover.jpg","pdf","69","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","226346","","2015-12-03T02:32:11+10:00","Fantasy Seeds","Fantasy Seeds","afff6e89-c4f0-453b-b329-91955cb9c500","",""
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/Fantasy Seeds Print (59)/cover.jpg","pdf","59","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","190427","","2015-12-03T02:32:05+10:00","Fantasy Seeds Print","Fantasy Seeds Print","ffa05065-db46-468a-9eab-3b636efc8e83","",""
"Reid, Corey","Corey Reid","","/home/tom/Calibre Library/Corey Reid/fire and brimstone (5)/cover.jpg","pdf","5","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","4358468","","2015-12-03T01:52:31+10:00","fire and brimstone","fire and brimstone","d278f6aa-c20a-4543-918f-63463925e5c5","",""
"Administrator, Systems","Systems Administrator","","/home/tom/Calibre Library/Systems Administrator/Flare Star.qxp (184)/cover.jpg","pdf","184","","","","Calibre Library","0101-01-01T10:00:00+10:00","","","","1.0","339792","","2016-09-10T16:13:50+10:00","Flare Star.qxp","Flare Star.qxp","67e72eb9-5999-4cec-ab26-60a0d4d64f6f","",""
"Unknown","Unknown","","/home/tom/Calibre Library/Unknown/FOSS Network Infrastructure and Security (65)/cover.jpg","epub","65","","","eng","Calibre Library","0101-01-01T10:00:00+10:00","PediaPress GmbH","","","1.0","227903","","2015-10-27T16:14:04+10:00","FOSS Network Infrastructure and Security","FOSS Network Infrastructure and Security","4a832724-cfa6-4cd8-a348-3a3c34cbf77a","",""
"Lessig, Lawrence","Lawrence Lessig","Lawrence Lessig, “the most important thinker on intellectual property in the Internet era” (**The New Yorker**), masterfully argues that never before in human history has the power to control creative progress been so concentrated in the hands of the powerful few, the so-called Big Media. Never before have the cultural powers- that-be been able to exert such control over what we can and can’t do with the culture around us. Our society defends free markets and free speech; why then does it permit such top-down control? To lose our long tradition of free culture, Lawrence Lessig shows us, is to lose our freedom to create, our freedom to build, and, ultimately, our freedom to imagine.

**

### From Publishers Weekly

From Stanford law professor Lessig (Code; The Future of Ideas) comes this expertly argued, alarming and surprisingly entertaining look at the current copyright wars. Copyright law in the digital age has become a hot topic, thanks to millions of music downloaders and the controversial, high-profile legal efforts of the music industry to stop them. Here Lessig argues that copyright as designed by the Framers has become dangerously unbalanced, favoring the interests of corporate giants over the interests of citizens and would-be innovators. In clear, well-paced prose, Lessig illustrates how corporations attempt to stifle innovations, from FM radio and the instant camera to peer-to-peer technology. He debunks the myth that draconian new copyright enforcement is needed to combat the entertainment industry's expanded definition of piracy, and chillingly assesses the direct and collateral damage of the copyright war. Information technology student Jesse Jordan, for example, was forced to hand over his life savings to settle a lawsuit brought by the music industry—for merely fixing a glitch in an Internet search engine. Lessig also offers a very personal look into his failed Supreme Court bid to overturn the Copyright Term Extension Act, a law that added 20 years to copyright protections largely to protect Mickey Mouse from the public domain. In addition to offering a brilliant argument, Lessig also suggests a few solutions, including the Creative Commons licensing venture (an online licensing venture that streamlines the rights process for creators), as well as legislative solutions. This is an important book. ""Free Cultures are cultures that leave a great deal open for others to build upon,"" he writes. ""Ours was a free culture. It is becoming less so.""   
Copyright © Reed Business Information, a division of Reed Elsevier Inc. All rights reserved. 

### From Booklist

Lessig looks at the disturbing legal and commercial trends that threaten to curb the incredible creative potential of the Internet. All innovations are derived from a certain amount of ""piracy"" of preceding innovations, Lessig argues, and he presents a catalog of technological breakthroughs in film, music, and television as illustrations. Drawing on distinctions between piracy that benefits a single user and harms the owner and piracy that is useful in advancing new content or new ways of doing business, Lessig strongly argues for a balance between the interests of the owner and broader society so that we can continue a ""free culture"" that encourages innovation rather than a ""permission culture"" that does not. He reviews an array of legal actions, including the restrictions on peer-to-peer sharing made famous by Napster, and the threat they represent to the kind of openness the law has traditionally allowed and from which the marketplace has benefited. This is a highly accessible and enlightening look at the intersection of commerce, the law, and cyberspace. *Vanessa Bush*  
*Copyright © American Library Association. All rights reserved*
","/home/tom/Calibre Library/Lawrence Lessig/Free Culture_ The Nature and Future of Creativity (156)/cover.jpg","epub","156","google:0ILgngEACAAJ,isbn:9781101200841,amazon:0143034650","9781101200841","eng","Calibre Library","2004-03-29T23:00:00+10:00","Penguin Books","4","","1.0","1204449","Self-Help, Creativity, Social Science, Sociology, General, Media Studies","2015-10-27T16:14:10+10:00","Free Culture: The Nature and Future of Creativity","Free Culture: The Nature and Future of Creativity","04ebdf3f-a45c-4636-b6e7-2810f38a1112","True",""
"Lessig, Lawrence","Lawrence Lessig","The Internet revolution has come. Some say it has gone. In** The Future of Ideas**, Lawrence Lessig explains how the revolution has produced a counterrevolution of potentially devastating power and effect. Creativity once flourished because the Net protected a commons on which widest range of innovators could experiment. But now, manipulating the law for their own purposes, corporations have established themselves as virtual gatekeepers of the Net while Congress, in the pockets of media magnates, has rewritten copyright and patent laws to stifle creativity and progress. 

Lessig weaves the history of technology and its relevant laws to make a lucid and accessible case to protect the sanctity of intellectual freedom. He shows how the door to a future of ideas is being shut just as technology is creating extraordinary possibilities that have implications for all of us. Vital, eloquent, judicious and forthright, **The Future of Ideas*** *is a call to arms that we can ill afford to ignore.

**

### Amazon.com Review

If *The Future of Ideas* is bleak, we have nobody to blame but ourselves. Author Lawrence Lessig, a Stanford law professor and keen observer of emerging technologies, makes a strong case that large corporations are staging an innovation-stifling power grab while we watch idly. The changes in copyright and other forms of intellectual property protection demanded by the media and software industries have the potential to choke off publicly held material, which Lessig sees as a kind of intellectual commons. He eloquently and persuasively decries this lopsided control of ideas and suggests practical solutions that consider the rights of both creators and consumers, while acknowledging the serious impact of new technologies on old ways of doing business. His proposals would let existing companies make money without using the tremendous advantages of incumbency to eliminate new killer apps before they can threaten the status quo. Readers who want a fair intellectual marketplace would do well to absorb the lessons in *The Future of Ideas*. *--Rob Lightner*

### From Library Journal

Is the Internet evolving into a controlled environment? Should it be completely free from intellectual property rights? Lessig (Stanford Law Sch.; Code: And Other Laws of Cyberspace) argues that as the Internet faces the challenges of intellectual property laws, it should not become so controlled that it discourages innovation and creativity in the digital world. He explains the historical context of the Internet and its relationship to the ""commons"" (items that are made available for free) and argues that, for the Internet to evolve and be an open environment, there must be a balance between intellectual property and the public domain. His book is filled with current case and social histories, as well as extensive source notes. His examples are thorough but can be excessively detailed. Though it is written for the lay reader, it will be better understood by those with some technological background. Recommended for all types of libraries, especially those maintaining materials on intellectual property. Rob Martindale, Dallas P.L.   
Copyright 2001 Reed Business Information, Inc. 
","/home/tom/Calibre Library/Lawrence Lessig/The Future of Ideas_ The Fate of the Commons in a Connected World (154)/cover.jpg","epub","154","google:tQRQAQAAQBAJ,isbn:9780375726446,amazon:0375726446","9780375726446","eng","Calibre Library","2002-10-21T23:00:00+10:00","Vintage","4","","1.0","414177","Business & Economics, Workplace Culture, E-Commerce, Internet Marketing","2015-10-27T16:14:07+10:00","The Future of Ideas: The Fate of the Commons in a Connected World","Future of Ideas: The Fate of the Commons in a Connected World, The","84550288-19ae-4a1c-af49-c15c4e02b09c","True",""
"Sukin, Isaac","Isaac Sukin","## In Detail

The advent of WebGL and its inclusion in many browsers enabled JavaScript programs running in a web browser to access the GPU without a plugin or extension. Three.js is a next generation high-level library that makes it possible to author complex 3D computer animations that display in the browser using nothing more than a simple text editor. The development of these new tools has opened up the world of real-time 3D computer animations to a far broader spectrum of developers.

Starting with how to build 3D games on the web using the Three.js graphics library, you will learn how to build 3D worlds with meshes, lighting, user interaction, physics, and more. Along the way, you’ll learn how to build great online games through fun examples. Use this book as a guide to embrace the next generation of game development!

Moving on from the basics, you will learn how to use Three.js to build game worlds using its core components, including renderers, geometries, materials, lighting, cameras, and scenes. Following on from this, you will learn how to work with mouse and keyboard interactions, incorporate game physics, and import custom models and animations. You will also learn how to include effects like particles, sounds, and post-processing. You will start by building a 3D world, and then create a first person shooter game using it. You will then be shown how to imbue this FPS game with a “capture the flag” gameplay objective. With Game Development with Three.js, you will be able to build 3D games on the Web using the Three.js graphics library.

## Approach

A step-by-step, example-based guide to building immersive 3D games on the Web using the Three.js graphics library.

## Who this book is for

This book is for people interested in programming 3D games for the Web. Readers are expected to have basic knowledge of JavaScript syntax and a basic understanding of HTML and CSS. This book will be useful regardless of prior experience with game programming, whether you intend to build casual side projects or large-scale professional titles.

**
","/home/tom/Calibre Library/Isaac Sukin/Game Development With Three.js (81)/cover.jpg","epub, pdf, zip","81","amazon:B00G58JD4K","","eng","Calibre Library","2013-10-24T00:00:00+10:00","Packt Publishing","4","","1.0","2325325","Computers & Technology, Programming, Game Programming, Programming Languages, Web Development & Design, JavaScript, Reference, Games","2015-11-29T12:47:23+10:00","Game Development With Three.js","Game Development With Three.js","5787d37f-2426-464b-9cbf-f47a9b2376b7","",""
